section,ngram,score,rank
8,tax,0.009411403484206412,23
8,income,0.009387722751110649,24
8,cash,0.009330332644610266,25
9,of,0.0400320636040698,1
9,and,0.03864906816594558,2
9,item,0.036041346262583256,3
9,in,0.032692203371314496,4
9,to,0.032233974653508,5
9,our,0.024721059061485903,6
9,item 7a.,0.023741397107658255,7
9,7a.,0.023741397107658255,8
9,a,0.022246673265676302,9
9,8.,0.019643863165130473,10
9,interest,0.019570587695505848,11
9,we,0.019447006425786888,12
9,item 8.,0.019203307671198832,13
9,are,0.01742197601097411,14
9,market,0.016752516302060694,15
9,foreign,0.016695113654145995,16
9,for,0.016405761718000463,17
9,as,0.01616642318192323,18
9,on,0.01562482847554289,19
9,or,0.015618086069824615,20
9,rate,0.015337785714433219,21
9,company,0.014773079512709404,22
9,is,0.01475704836431558,23
9,december,0.014602725200801149,24
9,the company,0.014301796225423132,25
10,and,0.03606151370710578,1
10,in,0.027678098384159897,2
10,to,0.02646563451263523,3
10,for,0.019160638676588536,4
10,a,0.018908547183966312,5
10,company,0.01840667078454093,6
10,the company,0.01784986335181233,7
10,are,0.016744437619597322,8
10,of the,0.016540217521539648,9
10,as,0.01619515843259548,10
10,on,0.015292523221220813,11
10,is,0.014625015155925146,12
10,financial,0.01295149529067867,13
10,s,0.011901243818880762,14
10,or,0.010369444943446679,15
10,with,0.010259836539340985,16
10,in the,0.010192379502822316,17
10,stock,0.010143475673337801,18
10,that,0.010086012355588444,19
10,at,0.010066888599519213,20
10,december,0.009867356439584866,21
10,million,0.00982134207227352,22
10,value,0.009715784225833326,23
10,consolidated,0.009670267201701518,24
10,our,0.009588874530421143,25
11,9.,0.2151558462491958,1
11,item 9.,0.2151558462491958,2
11,item 9a.,0.15735358145224654,3
11,9a.,0.15735358145224654,4
11,and,0.10288289780169917,5
11,and financial,0.05572838944027047,6
11,accounting and,0.05572838944027047,7
11,disagreements,0.05535424408909731,8
11,accounting,0.05493486357287312,9
11,accountants,0.05483688576344816,10
11,financial,0.05460944898727694,11
11,with accountants,0.0543015199180617,12
11,disagreements with,0.05421445550207151,13
11,with,0.053531587605333365,14
11,in,0.053474854234521016,15
11,on,0.05316342820945905,16
11,on accounting,0.05220173532676814,17
11,accountants on,0.05108153835410392,18
11,and disagreements,0.0507221261918285,19
11,changes,0.0507221261918285,20
11,changes in,0.0507221261918285,21
11,in and,0.0507221261918285,22
11,financial disclosure,0.04980348518397299,23
11,disclosure,0.049235031275571675,24
11,none.,0.04617190416463104,25
12,and,0.05911456882232659,1
12,item,0.04809874192577423,2
12,internal,0.04122813296095968,3
12,control,0.04052260827718162,4
12,internal control,0.03967614978826125,5
12,over,0.03767142445570759,6
12,over financial,0.036966943514478885,7
12,control over,0.03599145269449442,8
12,our,0.03572144383070899,9
12,in,0.034192821149262045,10
12,reporting,0.03364451632100256,11
12,financial reporting,0.03325146851809585,12
12,to,0.03229005571722517,13
12,that,0.032193067864728406,14
12,item 9a.,0.03154822667169273,15
12,9a.,0.03154822667169273,16
12,of the,0.030292890547910022,17
12,controls,0.02920111028154877,18
12,s,0.02867507971395759,19
12,company,0.02809963971811248,20
12,item 9b.,0.026812236714110586,21
12,9b.,0.026812236714110586,22
12,the company,0.02622648541160804,23
12,management,0.025280175312112567,24
12,controls and,0.02433716116822114,25
13,9b.,0.21700354245182216,1
13,item 9b.,0.21700354245182216,2
13,none.,0.12210247818669671,3
13,10.,0.12106368833519007,4
13,item 10.,0.12106368833519007,5
13,iii item,0.12106368833519007,6
13,part iii,0.12106368833519007,7
13,part,0.12106368833519007,8
13,iii,0.12106368833519007,9
13,other,0.10869736881843166,10
13,information,0.09348651142771212,11
13,other information,0.09321381212580153,12
13,information none.,0.08735606173596827,13
13,information.,0.03169649372680099,14
13,other information.,0.03169649372680099,15
13,not,0.025598115248551986,16
13,the,0.02523997206315313,17
13,applicable.,0.021232691480523425,18
13,not applicable.,0.021232691480523425,19
13,information not,0.02020189410660829,20
13,of,0.01822039212787571,21
13,none,0.009159260620817938,22
13,none part,0.009159260620817938,23
13,in,0.007533718054463328,24
13,to,0.006656329597865526,25
14,the,0.05895029465023723,1
14,item,0.05616452294774038,2
14,and,0.04103709630570125,3
14,10.,0.037135949850802596,4
14,item 10.,0.037135949850802596,5
14,11.,0.035495953584092126,6
14,item 11.,0.035495953584092126,7
14,to,0.02901568722204626,8
14,a,0.023714965754890106,9
14,in,0.022558364290891995,10
14,of the,0.022043590751359428,11
14,as,0.02049832771290834,12
14,executive,0.020171671090138576,13
14,directors,0.019660466935107788,14
14,company,0.01781393908389981,15
14,he,0.01733292744478099,16
14,president,0.017112938420414853,17
14,director,0.017099174653196075,18
14,by,0.016490781865564526,19
14,served,0.016226434948497185,20
14,is,0.01597192793147,21
14,since,0.015838361595897577,22
14,officer,0.015814367567832274,23
14,has,0.01580165515178765,24
14,served as,0.015252306274249611,25
15,item,0.1405079499998638,1
15,11.,0.10422631750287054,2
15,item 11.,0.10422631750287054,3
15,item 12.,0.09566995010068795,4
15,12.,0.09566995010068795,5
15,the,0.07217726560598643,6
15,of,0.046273072726889214,7
15,compensation,0.04502235585100112,8
15,to,0.03571352740046332,9
15,executive,0.034200825837821185,10
15,and,0.03399778491600363,11
15,in,0.02904106730311953,12
15,for,0.024726502970039744,13
15,executive compensation,0.022715469208563432,14
15,by,0.02073925798902543,15
15,of the,0.01815164360375655,16
15,stock,0.017827582047962243,17
15,with,0.017739416078100707,18
15,a,0.01769584605955777,19
15,be,0.016501073360790458,20
15,compensation.,0.016451281992595917,21
15,on,0.016265453095551632,22
15,executive compensation.,0.016038676142246112,23
15,mr.,0.016025457378243384,24
15,our,0.015822897964895468,25
16,item,0.08950013375765238,1
16,item 12.,0.062148970391287216,2
16,12.,0.062148970391287216,3
16,the,0.06174975162958163,4
16,13.,0.05723792923801482,5
16,item 13.,0.05723792923801482,6
16,of,0.047991731223160757,7
16,and,0.035809130554506206,8
16,stock,0.033519804220757746,9
16,to,0.026083986460833063,10
16,under,0.023819424127264482,11
16,shares,0.023672855104882352,12
16,plan,0.022814781260357173,13
16,by,0.02026656272956406,14
16,in,0.01972908418792311,15
16,under the,0.019109411219733925,16
16,for,0.019021492000601412,17
16,abbott,0.018024063243610985,18
16,security,0.017787687752604864,19
16,ownership,0.017640365456465645,20
16,or,0.01733456000407728,21
16,options,0.016329780218105456,22
16,security ownership,0.016312057243907028,23
16,ownership of,0.01615721015389729,24
16,information,0.015743340420769584,25
17,13.,0.19576481234060286,1
17,item 13.,0.19576481234060286,2
17,14.,0.1690485889163374,3
17,item 14.,0.1690485889163374,4
17,the,0.07520824034881385,5
17,and,0.06450865875819803,6
17,related,0.04289770002958902,7
17,of,0.041363198027554504,8
17,transactions,0.04032935531434692,9
17,relationships,0.03661030981824895,10
17,certain,0.03635358313713931,11
17,and related,0.036018499329852266,12
17,relationships and,0.03598168763927493,13
17,certain relationships,0.035895309735360016,14
17,related transactions,0.033992880553368805,15
17,by,0.02871763894370116,16
17,director,0.026934566932382185,17
17,to,0.02634254570660553,18
17,in,0.025961639957862926,19
17,independence,0.023891298202664574,20
17,and director,0.021828163400653033,21
17,information,0.02129938149084968,22
17,proxy,0.02097562362261608,23
17,transactions and,0.02082209292888985,24
17,statement,0.020144215922494123,25
18,item,0.07933811776392694,1
18,14.,0.07016683990006543,2
18,item 14.,0.07016683990006543,3
18,the,0.06434723080043912,4
18,of,0.04178430886797908,5
18,and,0.039225969287124185,6
18,15.,0.034303942185769876,7
18,item 15.,0.034303942185769876,8
18,to,0.033885129281733796,9
18,part,0.030574654148540107,10
18,iv,0.028751704152008683,11
18,part iv,0.028735413085416144,12
18,iv item,0.028735413085416144,13
18,by,0.024181073589626016,14
18,in,0.023269427833462027,15
18,on,0.023034253101932106,16
18,fees,0.022370587695234003,17
18,for,0.02206538696447109,18
18,audit,0.022038956488329133,19
18,form,0.021450743531289042,20
18,s,0.02140958518218544,21
18,to the,0.019177135757345427,22
18,report,0.019040930660749723,23
18,financial,0.018529744178662346,24
18,statement,0.018457079498048687,25
19,of,0.038170920089066585,1
19,and,0.0327713977977489,2
19,to,0.030686227700861077,3
19,on,0.021785002286910115,4
19,in,0.02110388081088627,5
19,s,0.01877921049348001,6
19,for,0.018725326783815107,7
19,by,0.01733829476728373,8
19,form,0.01711148488655893,9
19,as,0.01672912317155551,10
19,company,0.0164725366481655,11
19,the company,0.015931218987202164,12
19,of the,0.015891700739266414,13
19,a,0.0155993495640075,14
19,to the,0.01434823653812534,15
19,filed,0.014321240977547072,16
19,report,0.01396645737626526,17
19,financial,0.013597923661419976,18
19,are,0.012801640163837863,19
19,on form,0.01260981105205537,20
19,december,0.012459096855426361,21
19,31,0.012294501699697221,22
19,k,0.012182235840087074,23
19,10,0.011935106530487008,24
19,is,0.011851595352453712,25
